2021.05.16 at 02:18:56 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 38 printf - app-org.springframework.context.annotation.AnnotationConfigApplicationContext@1a9c38eb, started on Sun May 16 02:18:55 CST 2021
2021.05.16 at 02:19:29 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 458 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:19:29 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
2021.05.16 at 02:19:30 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 38 printf - app-org.springframework.context.annotation.AnnotationConfigApplicationContext@3c9bfddc, started on Sun May 16 02:19:29 CST 2021
2021.05.16 at 02:19:57 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 38 printf - app-null
2021.05.16 at 02:20:40 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 38 printf - app-org.springframework.context.annotation.AnnotationConfigApplicationContext@1a9c38eb, started on Sun May 16 02:20:39 CST 2021
2021.05.16 at 02:21:52 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 458 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:21:52 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
2021.05.16 at 02:21:52 CST INFO  com.spring.BeanPostPorcessor.MyService 12 xx - xx
2021.05.16 at 02:53:41 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
2021.05.16 at 02:54:05 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 460 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:54:05 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
